"X","country","year","gdp","unem","trade"
176,"Austria",1966,5.6429989,1.7,50.82818
177,"Austria",1967,3.0076867,1.8,51.53986
178,"Austria",1968,4.5,2,50.87713
179,"Austria",1969,6.3,1.8,51.62636
180,"Austria",1970,7.1,1.4,55.52404
181,"Austria",1971,5.1,1.2,61.16313
182,"Austria",1972,6.2,1,60.62628
183,"Austria",1973,4.9,1,60.49547
184,"Austria",1974,3.9,1.1,60.68523
185,"Austria",1975,-0.4,1.7,66.36381
186,"Austria",1976,4.6,1.7,63.06676
187,"Austria",1977,4.4,1.5,66.72645
188,"Austria",1978,0.5,1.8,67.23354
189,"Austria",1979,4.7,1.7,66.62471
190,"Austria",1980,3,1.6,71.77694
191,"Austria",1981,-0.1,2.1,75.59992
192,"Austria",1982,1.2,3.1,77.91716
193,"Austria",1983,2.1,3.8,74.13298
194,"Austria",1984,2,3.8,73.28623
195,"Austria",1985,2.5,3.6,77.68645
196,"Austria",1986,1.1,3.1,80.93437
197,"Austria",1987,1.9,3.8,72.72447
198,"Austria",1988,4.2,3.6,70.36277
199,"Austria",1989,3.7,3.1304348,74.421892
200,"Austria",1990,4.9,3.2331254,79.472929
201,"Italy",1966,5.9849301,5.9,26.93998
202,"Italy",1967,7.1776258,5.4,28.23712
203,"Italy",1968,6.5,5.7,28.7611
204,"Italy",1969,6.1,5.7,29.41873
205,"Italy",1970,5.3,5.4,31.44462
206,"Italy",1971,1.6,5.4,32.473
207,"Italy",1972,3.2,6.4,32.66676
208,"Italy",1973,7,6.4,34.19679
209,"Italy",1974,4.1,5.4,37.14928
210,"Italy",1975,-3.6,5.9,46.89348
211,"Italy",1976,5.9,6.7,43.18141
212,"Italy",1977,1.9,7.2,48.34128
213,"Italy",1978,2.7,7.2,48.47882
214,"Italy",1979,4.9,7.7,47.99013
215,"Italy",1980,3.9,7.6,51.30311
216,"Italy",1981,0.2,8.4,50.45122
217,"Italy",1982,-0.5,9.1,46.008
218,"Italy",1983,-0.2,9.9,44.53123
219,"Italy",1984,2.8,10.1,41.13525
220,"Italy",1985,2.6,10.1,43.64893
221,"Italy",1986,2.5,11.1,43.84961
222,"Italy",1987,3,12,37.01633
223,"Italy",1988,3.9,12,36.8253
224,"Italy",1989,3,11.8115106,38.838481
225,"Italy",1990,2,10.7891162,38.649988
226,"Finland",1966,2.3721416,1.5,42.16415
227,"Finland",1967,2.1688613,2.9,41.39525
228,"Finland",1968,2.5,3.8,40.35631
229,"Finland",1969,9.6,2.8,43.75069
230,"Finland",1970,7.9,1.9,47.38203
231,"Finland",1971,2.1,2.2,52.59821
232,"Finland",1972,7.6,2.5,50.48052
233,"Finland",1973,6.7,2.3,50.74626
234,"Finland",1974,3,1.7,51.49655
235,"Finland",1975,1.2,2.2,58.73077
236,"Finland",1976,0.3,3.8,53.37948
237,"Finland",1977,0.2,5.8,52.09085
238,"Finland",1978,2.6,7.2,55.15342
239,"Finland",1979,7.4,5.9,55.9532
240,"Finland",1980,5.6,4.6,61.35039
241,"Finland",1981,1.8,5.1,66.6819
242,"Finland",1982,3,5.4,65.71604
243,"Finland",1983,2.9,5.4,61.49152
244,"Finland",1984,3,5.2,60.64693
245,"Finland",1985,3.3,5,58.25233
246,"Finland",1986,2.1,5.4,57.31776
247,"Finland",1987,4,5.1,51.93765
248,"Finland",1988,5.2,4.6,50.27617
249,"Finland",1989,5.4,3.4456059,49.786669
250,"Finland",1990,0.4,3.5541195,48.981816
251,"Sweden",1966,2.0909698,1.4,44.78557
252,"Sweden",1967,3.3656264,1.7,43.72852
253,"Sweden",1968,3.6,2,42.46237
254,"Sweden",1969,5,1.7,43.51757
255,"Sweden",1970,6.5,1.4,46.27839
256,"Sweden",1971,0.9,2,48.77312
257,"Sweden",1972,2.3,2,47.52033
258,"Sweden",1973,4,1.9,46.86441
259,"Sweden",1974,3.2,1.5,52.04547
260,"Sweden",1975,2.6,1.4,65.1786
261,"Sweden",1976,1.1,1.2,56.49882
262,"Sweden",1977,-1.6,1.2,56.97875
263,"Sweden",1978,1.8,1.6,56.4408
264,"Sweden",1979,3.8,1.5,55.41762
265,"Sweden",1980,1.7,1.4,61.8139
266,"Sweden",1981,-0.3,2.5,61.51982
267,"Sweden",1982,0.8,3.1,60.16333
268,"Sweden",1983,2.4,3.5,64.76091
269,"Sweden",1984,3.4,3.1,68.5121
270,"Sweden",1985,2.2,2.8,68.25501
271,"Sweden",1986,2.3,2.6,68.22753
272,"Sweden",1987,2.9,1.9,62.7877
273,"Sweden",1988,2.3,1.6,61.83354
274,"Sweden",1989,2.4,0.6847802,63.454899
275,"Sweden",1990,0.6,1.5075377,63.819325
276,"Norway",1966,3.7861464,0.8,82.25382
277,"Norway",1967,6.2568582,0.8,83.08898
278,"Norway",1968,2.3,1.1,85.66164
279,"Norway",1969,6.4,1,84.23661
280,"Norway",1970,6.7,0.8,82.44259
281,"Norway",1971,4.6,0.8,84.91699
282,"Norway",1972,5.2,1.7,83.66345
283,"Norway",1973,4.1,1.5,80.62762
284,"Norway",1974,5.2,1.5,87.61421
285,"Norway",1975,4.2,2.3,95.4297
286,"Norway",1976,6.8,1.8,90.33502
287,"Norway",1977,3.6,1.5,91.72334
288,"Norway",1978,4.5,1.7,90.33905
289,"Norway",1979,5.1,2,82.75804
290,"Norway",1980,4.2,1.7,85.70865
291,"Norway",1981,0.9,2,88.46642
292,"Norway",1982,0.3,2.6,87.5138
293,"Norway",1983,3.9,3.3,85.11059
294,"Norway",1984,3.8,3.1,83.61769
295,"Norway",1985,5.3,2.6,85.50693
296,"Norway",1986,4.2,2,85.75997
297,"Norway",1987,3.4,2.1,79.00841
298,"Norway",1988,1.1,3.2,73.38462
299,"Norway",1989,0.4,4.9187935,73.863705
300,"Norway",1990,1.8,5.2287582,79.656174
301,"Denmark",1966,2.7412402,2.3,62.28668
302,"Denmark",1967,3.4212094,2.7,58.78237
303,"Denmark",1968,3.8,5,56.86628
304,"Denmark",1969,6.5,3.9,56.77313
305,"Denmark",1970,2.3,2.9,57.00761
306,"Denmark",1971,2.7,3.7,58.80617
307,"Denmark",1972,5.3,3.6,57.03129
308,"Denmark",1973,3.6,2.4,53.59322
309,"Denmark",1974,-0.9,5.2,58.96134
310,"Denmark",1975,-0.7,6,66.43667
311,"Denmark",1976,6.5,5.3,61.09859
312,"Denmark",1977,1.6,6.4,62.33729
313,"Denmark",1978,1.5,7.3,61.26526
314,"Denmark",1979,3.5,6.1,57.73387
315,"Denmark",1980,-0.4,6.9,61.31303
316,"Denmark",1981,-0.9,10.3,66.47386
317,"Denmark",1982,3,11,72.36322
318,"Denmark",1983,2.1,11.4,71.87047
319,"Denmark",1984,3.5,8.5,70.32415
320,"Denmark",1985,4.3,7.3,72.59833
321,"Denmark",1986,3.6,5.5,72.94829
322,"Denmark",1987,-0.6,6.9,64.36702
323,"Denmark",1988,-0.2,7.2,61.44821
324,"Denmark",1989,0.8,8.1278222,62.473431
325,"Denmark",1990,1.7,8.3104396,61.443299
326,"Japan",1966,10.6382757,0.9,20.64122
327,"Japan",1967,11.0823408,1.3,20.5948
328,"Japan",1968,12.8,1.2,20.05519
329,"Japan",1969,12.3,1.1,20.08211
330,"Japan",1970,9.8,1.2,20.59826
331,"Japan",1971,4.2,1.2,21.5081
332,"Japan",1972,8.4,1.4,21.95309
333,"Japan",1973,7.9,1.3,20.1664
334,"Japan",1974,-1.2,1.4,21.53925
335,"Japan",1975,2.6,1.9,29.91749
336,"Japan",1976,4.8,2,27.42852
337,"Japan",1977,5.3,2,28.03661
338,"Japan",1978,5.1,2.2,26.11608
339,"Japan",1979,5.2,2.1,22.00218
340,"Japan",1980,4.4,2,26.31612
341,"Japan",1981,3.9,2.2,31.21532
342,"Japan",1982,2.8,2.4,32.51882
343,"Japan",1983,3.2,2.6,32.80608
344,"Japan",1984,5,2.7,29.7358
345,"Japan",1985,4.7,2.6,30.6541
346,"Japan",1986,2.5,2.8,29.16159
347,"Japan",1987,4.4,2.9,21.90987
348,"Japan",1988,5.7,2.5,21.71235
349,"Japan",1989,4.7,2.2647528,23.128797
350,"Japan",1990,5.2,2.0989975,20.000304
